profile_id,profile,profile_enabled,enabled,bin_index,R,rate,start,duration,n_bins,r_min,r_max,gain
1,Nonnegative-R region,1,1,482,1.1314285714285717,7.093120539562388,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,483,1.1400000000000006,7.992841060162826,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,484,1.1485714285714286,8.793881060065667,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,485,1.1571428571428575,9.520734899381862,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,486,1.1657142857142855,10.190156494431973,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,487,1.1742857142857144,10.813899256546673,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,488,1.1828571428571433,11.400412793811181,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,489,1.1914285714285713,11.955918076878373,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,490,1.2000000000000002,12.485103145859933,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,491,1.208571428571429,12.991581813676206,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,492,1.217142857142857,13.478201200804929,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,493,1.225714285714286,13.947251051060078,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,494,1.2342857142857149,14.400608217164635,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,495,1.2428571428571429,14.83983778032574,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,496,1.2514285714285718,15.2662648267771,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,497,1.2599999999999998,15.68102616174886,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,498,1.2685714285714287,16.0851081610431,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,499,1.2771428571428576,16.479374922704594,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,500,1.2857142857142856,16.864589506814774,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,501,1.2942857142857145,17.24143011284667,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,502,1.3028571428571434,17.610502434286047,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,503,1.3114285714285714,17.972349143115245,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,504,1.3200000000000003,18.25051337172916,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,505,1.3285714285714292,18.502128892182647,0.0,0.19693793171894836,701,-3.0,3.0,1.0
1,Nonnegative-R region,1,1,506,1.3371428571428572,18.74985273840054,0.0,0.19693793171894836,701,-3.0,3.0,1.0
