bin_index,R,planned_base_exposure,delivered_base_exposure
60,-2.4857142857142858,0.0,0.0
61,-2.477142857142857,0.0,0.0
62,-2.4685714285714284,0.0,0.0
63,-2.46,0.0,0.0
64,-2.4514285714285715,0.0,0.0
65,-2.442857142857143,0.0,0.0
66,-2.434285714285714,0.0,0.0
67,-2.4257142857142857,0.0,0.0
68,-2.4171428571428573,0.0,0.0
69,-2.4085714285714284,0.0,0.0
70,-2.4,0.0,0.0
71,-2.3914285714285715,0.0,0.0
72,-2.3828571428571426,0.0,0.0
73,-2.374285714285714,0.0,0.0
74,-2.3657142857142857,0.0,0.0
75,-2.357142857142857,0.0,0.0
76,-2.3485714285714288,0.0,0.0
77,-2.34,0.0,0.0
78,-2.3314285714285714,0.0,0.0
79,-2.322857142857143,0.0,0.0
80,-2.314285714285714,0.0,0.0
81,-2.3057142857142856,0.0,0.0
82,-2.297142857142857,0.0,0.0
83,-2.2885714285714287,0.0,0.0
84,-2.28,0.0,0.0
85,-2.2714285714285714,0.0,0.0
86,-2.262857142857143,0.0,0.0
87,-2.2542857142857144,0.0,0.0
88,-2.2457142857142856,0.0,0.0
89,-2.237142857142857,0.0,0.0
90,-2.2285714285714286,0.0,0.0
91,-2.2199999999999998,0.0,0.0
92,-2.2114285714285713,0.0,0.0
93,-2.202857142857143,0.0,0.0
94,-2.1942857142857144,0.0,0.0
95,-2.185714285714286,0.0,0.0
96,-2.177142857142857,0.0,0.0
97,-2.1685714285714286,0.0,0.0
98,-2.16,0.0,0.0
99,-2.1514285714285712,0.0,0.0
100,-2.142857142857143,0.0,0.0
101,-2.1342857142857143,0.0,0.0
102,-2.1257142857142854,0.0,0.0
103,-2.117142857142857,0.0,0.0
104,-2.1085714285714285,0.0,0.0
105,-2.1,0.0,0.0
106,-2.0914285714285716,0.0,0.0
107,-2.0828571428571427,0.0,0.0
108,-2.0742857142857143,0.0,0.0
109,-2.065714285714286,0.0,0.0
110,-2.057142857142857,0.0,0.0
111,-2.0485714285714285,0.0,0.0
112,-2.04,0.0,0.0
113,-2.031428571428571,0.0,0.0
114,-2.0228571428571427,0.0,0.0
115,-2.0142857142857142,0.0,0.0
116,-2.005714285714286,0.0,0.0
117,-1.997142857142857,0.0,0.0
118,-1.9885714285714284,0.0,0.0
119,-1.98,0.0,0.0
120,-1.9714285714285713,0.0,0.0
121,-1.9628571428571429,0.0,0.0
122,-1.9542857142857142,0.0,0.0
123,-1.9457142857142857,0.0,0.0
124,-1.937142857142857,0.0,0.0
125,-1.9285714285714286,0.0,0.0
126,-1.92,0.0,0.0
127,-1.9114285714285715,0.0,0.0
128,-1.9028571428571428,0.0,0.0
129,-1.8942857142857141,0.0,0.0
130,-1.8857142857142857,0.0,0.0
131,-1.877142857142857,0.0,0.0
132,-1.8685714285714285,0.0,0.0
133,-1.8599999999999999,0.0,0.0
134,-1.8514285714285714,0.0,0.0
135,-1.8428571428571427,0.0,0.0
136,-1.8342857142857143,0.0,0.0
137,-1.8257142857142856,0.0,0.0
138,-1.8171428571428572,0.0,0.0
139,-1.8085714285714285,0.0,0.0
140,-1.8,0.0,0.0
141,-1.7914285714285714,0.0,0.0
142,-1.7828571428571427,0.0,0.0
143,-1.7742857142857142,0.0,0.0
144,-1.7657142857142856,0.0,0.0
145,-1.7571428571428571,0.0,0.0
146,-1.7485714285714284,0.0,0.0
147,-1.74,0.0,0.0
148,-1.7314285714285713,0.0,0.0
149,-1.7228571428571429,0.0,0.0
150,-1.7142857142857142,0.0,0.0
151,-1.7057142857142857,0.0,0.0
152,-1.697142857142857,0.0,0.0
153,-1.6885714285714286,0.0,0.0
154,-1.68,0.0,0.0
155,-1.6714285714285713,0.0,0.0
156,-1.6628571428571428,0.0,0.0
157,-1.6542857142857141,0.0,0.0
158,-1.6457142857142857,0.0,0.0
159,-1.637142857142857,0.0,0.0
160,-1.6285714285714286,0.0,0.0
161,-1.6199999999999999,0.0,0.0
162,-1.6114285714285714,0.0,0.0
163,-1.6028571428571428,0.0,0.0
164,-1.5942857142857143,0.0,0.0
165,-1.5857142857142856,0.0,0.0
166,-1.5771428571428572,0.0,0.0
167,-1.5685714285714285,0.0,0.0
168,-1.5599999999999998,0.0,0.0
169,-1.5514285714285714,0.0,0.0
170,-1.5428571428571427,0.0,0.0
171,-1.5342857142857143,0.0,0.0
172,-1.5257142857142856,0.0,0.0
173,-1.5171428571428571,0.0,0.0
174,-1.5085714285714285,0.0,0.0
175,-1.5,0.0,0.0
176,-1.4914285714285713,0.0,0.0
177,-1.4828571428571429,0.0,0.0
178,-1.4742857142857142,0.0,0.0
179,-1.4657142857142857,0.0,0.0
180,-1.457142857142857,0.0,0.0
181,-1.4485714285714284,0.0,0.0
182,-1.44,0.0,0.0
183,-1.4314285714285713,0.0,0.0
184,-1.4228571428571428,0.0,0.0
185,-1.4142857142857141,0.0,0.0
186,-1.4057142857142857,0.0,0.0
187,-1.397142857142857,0.0,0.0
188,-1.3885714285714286,0.0,0.0
189,-1.38,0.0,0.0
190,-1.3714285714285714,0.0,0.0
191,-1.3628571428571428,0.0,0.0
192,-1.354285714285714,0.0,0.0
193,-1.3457142857142856,0.0,0.0
194,-1.337142857142857,0.0,0.0
195,-1.3285714285714285,0.0,0.0
196,-1.3199999999999998,0.0,0.0
197,-1.3114285714285714,0.0,0.0
198,-1.3028571428571427,0.0,0.0
199,-1.2942857142857143,0.0,0.0
200,-1.2857142857142856,0.0,0.0
201,-1.2771428571428571,0.0,0.0
202,-1.2685714285714285,0.0,0.0
203,-1.26,0.0,0.0
204,-1.2514285714285713,0.0,0.0
205,-1.2428571428571427,0.0,0.0
206,-1.2342857142857142,0.0,0.0
207,-1.2257142857142855,0.0,0.0
208,-1.217142857142857,0.0,0.0
209,-1.2085714285714284,0.0,0.0
210,-1.2,0.0,0.0
211,-1.1914285714285713,0.0,0.0
212,-1.1828571428571428,0.0,0.0
213,-1.1742857142857142,0.0,0.0
214,-1.1657142857142857,0.0,0.0
215,-1.157142857142857,0.0,0.0
216,-1.1485714285714286,0.0,0.0
217,-1.14,0.0,0.0
218,-1.1314285714285712,0.0,0.0
219,-1.1228571428571428,0.0,0.0
220,-1.114285714285714,0.0,0.0
221,-1.1057142857142856,0.0,0.0
222,-1.097142857142857,0.0,0.0
223,-1.0885714285714285,0.0,0.0
224,-1.0799999999999998,0.0,0.0
225,-1.0714285714285714,0.0,0.0
226,-1.0628571428571427,0.0,0.0
227,-1.0542857142857143,0.0,0.0
228,-1.0457142857142856,0.0,0.0
229,-1.0371428571428571,0.0,0.0
230,-1.0285714285714285,0.0,0.0
231,-1.0199999999999998,0.0,0.0
232,-1.0114285714285713,0.0,0.0
233,-1.0028571428571427,0.0,0.0
234,-0.9942857142857142,0.0,0.0
235,-0.9857142857142858,0.0,0.0
236,-0.9771428571428569,0.0,0.0
237,-0.9685714285714284,0.06666666666666665,0.0666666666666664
238,-0.96,0.1333333333333333,0.1333333333333328
239,-0.9514285714285715,0.19999999999999996,0.20000000000000098
240,-0.9428571428571426,0.2666666666666666,0.2666666666666656
241,-0.9342857142857142,0.33333333333333326,0.33333333333333265
242,-0.9257142857142857,0.4,0.40000000000000197
243,-0.9171428571428573,0.4666666666666667,0.4666666666666682
244,-0.9085714285714284,0.5333333333333333,0.5333333333333318
245,-0.8999999999999999,0.6,0.5999999999999963
246,-0.8914285714285715,0.6666666666666666,0.6666666666666654
247,-0.8828571428571426,0.7333333333333333,0.7333333333333286
248,-0.8742857142857141,0.8,0.8000000000000039
249,-0.8657142857142857,0.8666666666666667,0.8666666666666685
250,-0.8571428571428572,0.9333333333333333,0.9333333333333363
251,-0.8485714285714283,1.0,1.0
252,-0.8399999999999999,0.9333333333333333,0.9333333333333363
253,-0.8314285714285714,0.8666666666666667,0.8666666666666685
254,-0.822857142857143,0.8,0.8000000000000039
255,-0.8142857142857141,0.7333333333333334,0.7333333333333286
256,-0.8057142857142856,0.6666666666666667,0.6666666666666654
257,-0.7971428571428572,0.6000000000000001,0.5999999999999963
258,-0.7885714285714283,0.5333333333333334,0.5333333333333318
259,-0.7799999999999998,0.4666666666666668,0.46666666666666884
260,-0.7714285714285714,0.3999999999999999,0.40000000000000197
261,-0.7628571428571429,0.33333333333333326,0.33333333333333265
262,-0.754285714285714,0.2666666666666666,0.2666666666666656
263,-0.7457142857142856,0.19999999999999996,0.20000000000000098
264,-0.7371428571428571,0.1333333333333333,0.1333333333333328
265,-0.7285714285714286,0.06666666666666665,0.0666666666666664
266,-0.7199999999999998,0.0,0.0
267,-0.7114285714285713,0.0,0.0
268,-0.7028571428571428,0.0,0.0
269,-0.694285714285714,0.0,0.0
270,-0.6857142857142855,0.0,0.0
271,-0.677142857142857,0.0,0.0
272,-0.6685714285714286,0.0,0.0
273,-0.6599999999999997,0.0,0.0
274,-0.6514285714285712,0.0,0.0
275,-0.6428571428571428,0.0,0.0
276,-0.6342857142857143,0.0,0.0
277,-0.6257142857142854,0.0,0.0
278,-0.617142857142857,0.0,0.0
279,-0.6085714285714285,0.0,0.0
280,-0.6000000000000001,0.0,0.0
281,-0.5914285714285712,0.0,0.0
282,-0.5828571428571427,0.0,0.0
283,-0.5742857142857143,0.0,0.0
284,-0.5657142857142854,0.0,0.0
285,-0.5571428571428569,0.0,0.0
286,-0.5485714285714285,0.0,0.0
287,-0.54,0.0,0.0
288,-0.5314285714285711,0.0,0.0
289,-0.5228571428571427,0.0,0.0
290,-0.5142857142857142,0.0,0.0
291,-0.5057142857142858,0.0,0.0
292,-0.4971428571428569,0.0,0.0
293,-0.48857142857142843,0.0,0.0
294,-0.48,0.0,0.0
295,-0.4714285714285711,0.0,0.0
296,-0.46285714285714263,0.0,0.0
297,-0.4542857142857142,0.0,0.0
298,-0.44571428571428573,0.0,0.0
299,-0.43714285714285683,0.0,0.0
300,-0.4285714285714284,0.0,0.0
301,-0.41999999999999993,0.0,0.0
302,-0.4114285714285715,0.0,0.0
303,-0.4028571428571426,0.0,0.0
304,-0.39428571428571413,0.0,0.0
305,-0.3857142857142857,0.0,0.0
306,-0.3771428571428572,0.0,0.0
307,-0.36857142857142833,0.0,0.0
308,-0.3599999999999999,0.0,0.0
309,-0.3514285714285714,0.0,0.0
310,-0.3428571428571425,0.0,0.0
311,-0.3342857142857141,0.0,0.0
312,-0.3257142857142856,0.0,0.0
313,-0.31714285714285717,0.0,0.0
314,-0.3085714285714283,0.0,0.0
315,-0.2999999999999998,0.0,0.0
316,-0.29142857142857137,0.0,0.0
317,-0.2828571428571429,0.0,0.0
318,-0.274285714285714,0.0,0.0
319,-0.26571428571428557,0.0,0.0
320,-0.2571428571428571,0.0,0.0
321,-0.24857142857142822,0.0,0.0
322,-0.23999999999999977,0.0,0.0
323,-0.23142857142857132,0.0,0.0
324,-0.22285714285714286,0.0,0.0
325,-0.21428571428571397,0.0,0.0
326,-0.20571428571428552,0.0,0.0
327,-0.19714285714285706,0.0,0.0
328,-0.1885714285714286,0.0,0.0
329,-0.17999999999999972,0.0,0.0
330,-0.17142857142857126,0.0,0.0
331,-0.1628571428571428,0.0,0.0
332,-0.15428571428571436,0.0,0.0
333,-0.14571428571428546,0.0,0.0
